name,rating,review_count,address,city,zip_code,phone,website,coordinates,categories,price,dogs_allowed,good_for_kids
Gulp,3.8,311,"13020 Pacific Promenade, Ste 1, Los Angeles, CA 90094",Los Angeles,90094,+13104963966,https://www.yelp.com/biz/gulp-los-angeles-5?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.972623121843, 'longitude': -118.423509187836}","['New American', 'Burgers', 'Sports Bars']",$$,Unknown,Unknown
N17 The Lane,4.7,188,"12821 W Washington Blvd, Ste 103, Los Angeles, CA 90066",Los Angeles,90066,+13105697358,https://www.yelp.com/biz/n17-the-lane-los-angeles?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.99594083067101, 'longitude': -118.437432441104}","['Gastropubs', 'Comfort Food', 'Sports Bars']",$$,Unknown,Unknown
33 Taps -  Culver City,4.2,207,"9739 Culver Blvd, Culver City, CA 90232",Culver City,90232,+13108389739,https://www.yelp.com/biz/33-taps-culver-city-culver-city-6?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.021909, 'longitude': -118.39656}","['Sports Bars', 'Burgers', 'Vegan']",$$,Unknown,Unknown
Zinqué,3.8,124,"23841 Malibu Rd, Spc 21, Malibu, CA 90265",Malibu,90265,+14246440730,https://www.yelp.com/biz/zinqu%C3%A9-malibu?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.03399355569049, 'longitude': -118.69233967055224}","['French', 'Breakfast & Brunch', 'Cocktail Bars']",N/A,Unknown,Unknown
SOL Mexican Cocina,4.2,2892,"12775 Millennium Dr, Unit 160, Playa Vista, CA 90094",Playa Vista,90094,+14242890066,https://www.yelp.com/biz/sol-mexican-cocina-playa-vista-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.97604309232573, 'longitude': -118.41684701580708}","['Bars', 'Mexican', 'Breakfast & Brunch']",$$,Unknown,Unknown
Simonette,4.1,575,"3927 Van Buren Pl, Culver City, CA 90232",Culver City,90232,+14243218000,https://www.yelp.com/biz/simonette-culver-city-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0229299260707, 'longitude': -118.393480069935}","['French', 'Cafes', 'Bars']",$$,Unknown,Unknown
Bacari PDR,4.6,2372,"6805 Vista Del Mar Ln, Playa Del Rey, CA 90293",Playa Del Rey,90293,+13239866763,https://www.yelp.com/biz/bacari-pdr-playa-del-rey-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.958639, 'longitude': -118.448384}","['New American', 'Wine Bars', 'Breakfast & Brunch']",$$,Unknown,Unknown
Superfine Pizza & Bar,3.9,149,"12746 Jefferson Blvd, Ste 2200, Playa Vista, CA 90094",Playa Vista,90094,+16266280218,https://www.yelp.com/biz/superfine-pizza-and-bar-playa-vista?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.97672009136119, 'longitude': -118.41710755558324}","['Pizza', 'Breakfast & Brunch', 'Cocktail Bars']",N/A,Unknown,Unknown
Piccalilli,4.3,443,"3850 Main St, Ste A, Culver City, CA 90232",Culver City,90232,+14242988540,https://www.yelp.com/biz/piccalilli-culver-city?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.02461602124082, 'longitude': -118.39422091717928}","['Asian Fusion', 'New American', 'Cocktail Bars']",$$,Unknown,Unknown
Stanley's Wet Goods,4.4,161,"9620 Venice Blvd, Culver City, CA 90232",Culver City,90232,+14243412870,https://www.yelp.com/biz/stanleys-wet-goods-culver-city?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.02441, 'longitude': -118.39618}","['Wine Bars', 'Beer, Wine & Spirits', 'Coffee & Tea']",$$,Unknown,Unknown
Belles Beach House,4.2,1247,"24 Windward Ave, Venice, CA 90291",Venice,90291,+14243636600,https://www.yelp.com/biz/belles-beach-house-venice?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.98698606118544, 'longitude': -118.4730977}","['Tiki Bars', 'Izakaya', 'American']",N/A,Unknown,Unknown
Local Kitchen,4.4,1376,"1321 Sartori Ave, Torrance, CA 90501",Torrance,90501,+14243371321,https://www.yelp.com/biz/local-kitchen-torrance-3?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.83433, 'longitude': -118.31539}","['American', 'Gastropubs']",$$,Unknown,Unknown
JOEY Manhattan Beach,4.4,2598,"3120 N Sepulveda Blvd, Manhattan Beach, CA 90266",Manhattan Beach,90266,+13105461163,https://www.yelp.com/biz/joey-manhattan-beach-manhattan-beach?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.8988142, 'longitude': -118.39517022822314}","['New American', 'Lounges', 'Steakhouses']",N/A,Unknown,Unknown
Bodega Wine Bar,4.1,1219,"814 Broadway, Santa Monica, CA 90401",Santa Monica,90401,+13103943504,https://www.yelp.com/biz/bodega-wine-bar-santa-monica?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0184534, 'longitude': -118.4892482}","['Wine Bars', 'Coffee & Tea', 'Breakfast & Brunch']",$$,Unknown,Unknown
Paradise Cove Beach Cafe,3.0,4031,"28128 Pacific Coast Hwy, Malibu, CA 90265",Malibu,90265,+13104572503,https://www.yelp.com/biz/paradise-cove-beach-cafe-malibu-7?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.02133, 'longitude': -118.78761}","['American', 'Cocktail Bars', 'Breakfast & Brunch']",$$,Unknown,Unknown
Settecento,4.6,241,"700 W 5th St, Los Angeles, CA 90071",Los Angeles,90071,+12137577765,https://www.yelp.com/biz/settecento-los-angeles-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.051050995888055, 'longitude': -118.2557575}","['Italian', 'Cocktail Bars', 'Pizza']",N/A,Unknown,Unknown
Tu Madre- Santa Monica,4.3,744,"606 Broadway, Ste 100, Santa Monica, CA 90401",Santa Monica,90401,+14243532060,https://www.yelp.com/biz/tu-madre-santa-monica-santa-monica?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.01662575666819, 'longitude': -118.49145021529372}","['Tacos', 'Cocktail Bars']",$$,Unknown,Unknown
SAUSAL,4.3,1086,"219 Main St, El Segundo, CA 90245",El Segundo,90245,+13103222721,https://www.yelp.com/biz/sausal-el-segundo?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.9181534, 'longitude': -118.4160949}",['Mexican'],$$,Unknown,Unknown
Tiny's Hi-Dive,4.7,155,"12012 W Pico Blvd, Los Angeles, CA 90064",Los Angeles,90064,+14248881388,https://www.yelp.com/biz/tinys-hi-dive-los-angeles?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.02954547360724, 'longitude': -118.4494128}",['Dive Bars'],$,Unknown,Unknown
