name,website,emails,price,zip_code,city,rating,address,review_count,dogs_allowed,phone,categories,good_for_kids
Weary Livers,,,$$,90405,Santa Monica,4.8,"2819 Pico Blvd, Santa Monica, CA 90405",74,Unknown,+14242684300,"Cocktail Bars, Lounges, New American",Unknown
N17 The Lane,http://www.n17thelane.com,,$$,90066,Los Angeles,4.8,"12821 W Washington Blvd, Ste 103, Los Angeles, CA 90066",193,Unknown,+13105697358,"Gastropubs, Comfort Food, Sports Bars",Unknown
Propaganda Wine Bar,https://propaganda.wine,,$$,90013,Los Angeles,4.7,"950 E 3rd St, Los Angeles, CA 90013",215,Unknown,+12139473200,"Wine Bars, Italian, Pizza",Unknown
Good Clean Fun,http://www.gcfwines.com,,$$,90015,Los Angeles,4.7,"868 S Olive St, Los Angeles, CA 90015",193,Unknown,+13236003016,"Wine Bars, Beer, Wine & Spirits, Italian",Unknown
Tiny's Hi-Dive,http://www.tinyshidive.com,,$,90064,Los Angeles,4.7,"12012 W Pico Blvd, Los Angeles, CA 90064",157,Unknown,+14248881388,Dive Bars,Unknown
Lobster Guys Rolls & Fries,http://Www.lobsterguys.com,"withcai@lobsterguys.com, hernan@lobsterguys.com",$$,90278,Redondo Beach,4.6,"2217 Artesia Blvd, Redondo Beach, CA 90278",387,Unknown,+13109218427,"Beer Bar, Seafood, Sports Bars",Unknown
Piccolo - Santa Monica,http://www.piccoloristoranti.com,,$$$,90405,Santa Monica,4.6,"2127 Lincoln Blvd, Santa Monica, CA 90405",223,Unknown,+13103140144,"Italian, Wine Bars, Seafood",Unknown
Bacari PDR,https://www.eatwithbacari.com/playa-del-rey,,$$,90293,Playa Del Rey,4.6,"6805 Vista Del Mar Ln, Playa Del Rey, CA 90293",2389,Unknown,+13239866763,"New American, Wine Bars, Breakfast & Brunch",Unknown
The Art Room,https://artroomdtla.com,,$$,90015,Los Angeles,4.5,"908 S Olive St, Los Angeles, CA 90015",67,Unknown,+12136696100,"Cocktail Bars, Venues & Event Spaces, Burgers",Unknown
La Bohème,http://labohemeweho.com,laboheme@globaldiningca.com,$$$,90069,West Hollywood,4.5,"8400 Santa Monica Blvd, West Hollywood, CA 90069",4386,Unknown,+13238482360,"Bars, New American, Venues & Event Spaces",Unknown
The Hula Hula Room,http://www.thehulahularoom.com,,$$,90503,Torrance,4.5,"20930 Hawthorne Blvd, Torrance, CA 90503",128,Unknown,+14245384757,"Tiki Bars, Cocktail Bars, Club Crawl",Unknown
Clandestino Gastro-Bar,http://clandestinogastro.com,,$$,91702,Azusa,4.5,"353 E Foothill Boulevard, Azusa, CA 91702",1570,Unknown,+16266464164,"Latin American, Breakfast & Brunch, Cocktail Bars",Unknown
1212 Santa Monica,http://www.1212santamonica.com,1212@globaldiningca.com,$$,90401,Santa Monica,4.5,"1212 3rd St Promenade, Santa Monica, CA 90401",4202,Unknown,+13105769996,"Cocktail Bars, New American, Venues & Event Spaces",Unknown
Palmilla Cocina Y Tequila,https://palmillarestaurant.com/hermosa-beach/,,$$,90254,Hermosa Beach,4.4,"39 Pier Ave, Hermosa Beach, CA 90254",2282,Unknown,+13103744440,"Mexican, Bars, Seafood",Unknown
Stanley's Wet Goods,https://www.stanleys.la,,$$,90232,Culver City,4.4,"9620 Venice Blvd, Culver City, CA 90232",161,Unknown,+14243412870,"Wine Bars, Beer, Wine & Spirits, Coffee & Tea",Unknown
GRANVILLE,https://www.granvillerestaurants.com,,$$,90048,West Hollywood,4.4,"8701 Beverly Blvd, West Hollywood, CA 90048",3051,Unknown,+14245225161,"New American, Cocktail Bars",Unknown
3 And Out,,,$$,90301,Inglewood,4.4,"244 S Market St, Inglewood, CA 90301",59,Unknown,,Sports Bars,Unknown
Brewport Tap House,http://www.brewporttaphouse.com,,$$,90245,El Segundo,4.3,"204 Main St, El Segundo, CA 90245",490,Unknown,+13106488972,"Bars, Brewpubs, Salad",Unknown
Hermanito,https://barhermanito.com,,$$$,90025,Los Angeles,4.3,"2024 Sawtelle Blvd, Los Angeles, CA 90025",775,Unknown,+14243882585,"Mexican, Cocktail Bars, Whiskey Bars",Unknown
Caravan Swim Club,https://www.thehoteljune.com/west-los-angeles/caravan-swim-club/,"events@thehoteljune.com, info@thehoteljune.com, info@hoteljune.com, gigi.avendano@thehoteljune.com, sales@thehoteljune.com",$$,90045,Los Angeles,4.3,"8639 Lincoln Blvd Hotel June, Hotel June, Los Angeles, CA 90045",134,Unknown,+13104916646,"Cocktail Bars, Breakfast & Brunch, Mexican",Unknown
Ospi Venice,http://www.ospivenice.com,,$$$,90291,Venice,4.3,"2025 Pacific Ave, Venice, CA 90291",1222,Unknown,+14244435007,"Italian, Pizza, Cocktail Bars",Unknown
AFURI,https://www.afuriramen.com,taichi@afuri.us,$$,90232,Culver City,4.3,"9300 Culver Blvd, Unit 117, Culver City, CA 90232",278,Unknown,+14242988292,"Ramen, Cocktail Bars, Sushi Bars",Unknown
Piccalilli,https://www.piccalillila.com,"adolfo@piccalillila.com, macks@piccalillila.com",$$,90232,Culver City,4.3,"3850 Main St, Ste A, Culver City, CA 90232",443,Unknown,+14242988540,"Asian Fusion, New American, Cocktail Bars",Unknown
Rasselbock Kitchen & Beer Garden Los Angeles,http://www.rasselbockla.com,,$$,90066,Los Angeles,4.3,"3817 Grand View Blvd, Los Angeles, CA 90066",420,Unknown,+13104392938,"German, Pubs",Unknown
Saint & Second,http://www.saintandsecond.com,,$$,90803,Long Beach,4.3,"4828 E 2nd St, Long Beach, CA 90803",3307,Unknown,+15624334828,"New American, Breakfast & Brunch, Cocktail Bars",Unknown
Arth Bar & Kitchen,http://www.ArthLa.com,,$$,90232,Culver City,4.3,"9531 Culver Blvd, Culver City, CA 90232",367,Unknown,+14246034155,"Asian Fusion, Indian, Cocktail Bars",Unknown
Tu Madre- Santa Monica,https://www.tumadre.com/location/santa-monica/,,$$,90401,Santa Monica,4.3,"606 Broadway, Ste 100, Santa Monica, CA 90401",745,Unknown,+14246109002,"Tacos, Cocktail Bars",Unknown
HATCH,http://www.hatchyalater.com,info@hatchyalater.com,$$,90017,Los Angeles,4.3,"700 W 7th St, Ste G600, Los Angeles, CA 90017",1005,Unknown,+12132829070,"Japanese, Tapas/Small Plates, Cocktail Bars",Unknown
Lobster & Beer,http://lobsterandbeer.square.site,,$$,90034,Los Angeles,4.2,"3456 Motor Ave, Ste 101, Los Angeles, CA 90034",1417,Unknown,+14242988106,"Seafood, Beer Bar",Unknown
Bar Bohemien,http://www.barbohemien.com,,$$,90232,Culver City,4.2,"9355 Culver Blvd, Culver City, CA 90232",177,Unknown,+13107306610,Cocktail Bars,Unknown
The Henry,https://www.thehenryrestaurant.com/locations/the-henry-west-hollywood/,"gdprowner@foxrc.net, ebites@foxrc.com",$$$,90048,Los Angeles,4.2,"120 N Robertson Blvd, Los Angeles, CA 90048",1189,Unknown,+14242041595,"New American, Breakfast & Brunch, Cocktail Bars",Unknown
Mercado Manhattan Beach,http://www.cocinasycalaveras.com,info@cocinasycalaveras.com,$$,90266,Manhattan Beach,4.2,"3212A N Sepulveda Blvd, Manhattan Beach, CA 90266",448,Unknown,+13105450388,"Mexican, Cocktail Bars",Unknown
33 Taps -  Culver City,http://www.eatdrink33.com,,$$,90232,Culver City,4.2,"9739 Culver Blvd, Culver City, CA 90232",220,Unknown,+13108389739,"Sports Bars, Burgers, Vegan",Unknown
The Misfit Restaurant + Bar,https://themisfitbar.com,"mediainquiries@lgohospitality.com, misfitgroup@lgohospitality.com",$$,90401,Santa Monica,4.2,"225 Santa Monica Blvd, Santa Monica, CA 90401",4654,Unknown,+13106569800,"Bars, New American, Breakfast & Brunch",Unknown
SOL Mexican Cocina,https://solcocina.com/locations/playa-vista/,,$$,90094,Playa Vista,4.2,"12775 Millennium Dr, Unit 160, Playa Vista, CA 90094",2893,Unknown,+14242890066,"Bars, Mexican, Breakfast & Brunch",Unknown
The Guest House,https://www.theguesthousela.com,,$$,90027,Los Angeles,4.2,"1750 Hillhurst Ave, Los Angeles, CA 90027",414,Unknown,+13236609930,"Cocktail Bars, New American, Venues & Event Spaces",Unknown
Joliet Restaurant and Bar,http://jolietplaya.com,info@jolietplaya.com,$$,90094,Playa Vista,4.2,"12751 Millennium Dr, 5 -165, Playa Vista, CA 90094",142,Unknown,+12132862675,"Cafes, Breakfast & Brunch, Cocktail Bars",Unknown
AC Bar and Lounge,https://www.marriott.com/hotels/hotel-photos/laxae-ac-hotel-los-angeles-south-bay/,"marriottdpo@marriott.com, customerservice@allianzassistance.com, privacy@marriott.com",$$,90245,El Segundo,4.2,"2130 E Maple Ave, El Segundo, CA 90245",46,Unknown,+13103223333,"Tapas/Small Plates, Lounges",Unknown
Alley Lounge,http://alleyloungela.com,,$$,90066,Culver City,4.1,"12223 West Washington Blvd, Culver City, CA 90066",359,Unknown,+13105968257,"Cocktail Bars, Lounges, Tacos",Unknown
Tin Roof Bistro,http://www.tinroofbistro.com,,$$,90266,Manhattan Beach,4.1,"3500 N Sepulveda Blvd, Manhattan Beach, CA 90266",2842,Unknown,+13109390900,"New American, Cocktail Bars, Breakfast & Brunch",Unknown
Venice Beach Wines,https://venicebeachwines.com,,$$,90291,Venice,4.1,"529 Rose Ave, Venice, CA 90291",377,Unknown,+13106062529,Wine Bars,Unknown
Santa Monica Brew Works,http://santamonicabrewworks.com,,$$,90404,Santa Monica,4.1,"1920 Colorado Ave, Ste C, Santa Monica, CA 90404",456,Unknown,+13108287629,"Venues & Event Spaces, Brewpubs, Pizza",Unknown
Bodega Wine Bar,http://www.bodegawinebar.com/,,$$,90401,Santa Monica,4.1,"814 Broadway, Santa Monica, CA 90401",1223,Unknown,+13103943504,"Wine Bars, Coffee & Tea, Breakfast & Brunch",Unknown
Simonette,http://www.simonetterestaurant.com,info@simonetterestaurant.com,$$,90232,Culver City,4.1,"3927 Van Buren Pl, Culver City, CA 90232",579,Unknown,+14243218000,"French, Cafes, Bars",Unknown
Prank,http://prankbar.com,,$$,90015,Los Angeles,4.1,"1100 S Hope St, Los Angeles, CA 90015",1070,Unknown,+13107309757,"Cocktail Bars, American, Breakfast & Brunch",Unknown
The Six Social House,http://the6socialhouse.com/wla,,$$,90064,Los Angeles,4.1,"10668 W Pico Blvd, Los Angeles, CA 90064",974,Unknown,+13108376662,"New American, Breakfast & Brunch, Cocktail Bars",Unknown
Ashland Hill,http://ashlandhill.com,"events@ashlandhill.com, gm@ashlandhill.com",$$,90405,Santa Monica,4.0,"2807 Main St, Santa Monica, CA 90405",819,Unknown,+13103923300,"Beer Gardens, New American, Breakfast & Brunch",Unknown
The Stalking Horse Brewery & Freehouse,http://thestalkinghorsepub.com,,$$,90064,Los Angeles,4.0,"10543 W Pico Blvd, Los Angeles, CA 90064",427,Unknown,+14248327511,"Cocktail Bars, Brewpubs, Tapas/Small Plates",Unknown
Zinqué,https://www.lezinque.com/venice,,$$$,90291,Los Angeles,4.0,"1440 Lincoln Blvd, Los Angeles, CA 90291",359,Unknown,+13103102469,"French, Breakfast & Brunch, Cocktail Bars",Unknown
Madre Oaxacan Restaurant and Mezcaleria,http://www.madrerestaurants.com,,$$,90034,Los Angeles,4.0,"10426 National Blvd, Los Angeles, CA 90034",1357,Unknown,+13105594732,"Mexican, Cocktail Bars, Breakfast & Brunch",Unknown
Tortugo Brewing,,,$$,90302,Inglewood,4.6,"916 W Hyde Park Blvd, Inglewood, CA 90302",124,Unknown,+14242279963,Breweries,Unknown
Lobster & Beer Santa Monica,http://ilovelobsterandbeer.com,,$$,90401,Santa Monica,4.6,"530 Wilshire Blvd, Santa Monica, CA 90401",408,Unknown,+12132473556,"Seafood, Beer Bar",Unknown
Casita,http://casitarestaurant.com,,$$$,91423,Sherman Oaks,4.5,"14015 Ventura Blvd, Sherman Oaks, CA 91423",1463,Unknown,+18186885009,"Cocktail Bars, Mexican",Unknown
Thunderbolt,https://www.thunderboltla.com,,$$,90026,Los Angeles,4.5,"1263 W Temple St, Los Angeles, CA 90026",209,Unknown,+12133725099,Bars,Unknown
Bike Shed Moto Co - Los Angeles,https://bikeshedmoto.com/pages/los-angeles,,$$,90021,Los Angeles,4.4,"1580 Industrial St, Los Angeles, CA 90021",550,Unknown,+12134657661,"Bars, Modern European, Breakfast & Brunch",Unknown
The CanTiki,https://www.thecantiki.com,info@thecantiki.com,$$,91601,North Hollywood,4.4,"11100 Magnolia Blvd, North Hollywood, CA 91601",144,Unknown,+18186962056,"Tiki Bars, Cocktail Bars, Dive Bars",Unknown
Prospect Gourmand,http://www.prospectgourmand.com,chanceytg@yahoo.com,$$,90211,Beverly Hills,4.4,"105 N Robertson Blvd, Beverly Hills, CA 90211",988,Unknown,+14247770481,"Breakfast & Brunch, New American, Cocktail Bars",Unknown
The Edmon,http://theedmon.com,contact@theedmon.com,$$,90038,Los Angeles,4.4,"5168 Melrose Ave, Los Angeles, CA 90038",353,Unknown,+13236455225,"Cocktail Bars, New American",Unknown
The Cat & Fiddle Restaurant & Pub,http://www.thecatandfiddle.com,catandfiddlerestaurant@gmail.com,$$,90038,Hollywood,4.3,"742 N Highland Ave, Hollywood, CA 90038",414,Unknown,+13234683800,"British, Pubs, New American",Unknown
SoCal Vibes,http://www.socalvibesco.com,,$$,90248,Carson,4.3,"17812 S Main St, Carson, CA 90248",288,Unknown,+14242923153,"Breweries, New American, Venues & Event Spaces",Unknown
1010 Wine and Events,https://1010wineandevents.com,hello@1010wineandevents.com,$$,90302,Inglewood,4.3,"1010 N La Brea Ave, Inglewood, CA 90302",441,Unknown,+14243319400,"Wine Bars, New American, Tapas/Small Plates",Unknown
Mercado Hollywood,http://www.cocinasycalaveras.com/mercado,"andrew@mercadorestaurant.com, glenn@mercadorestaurant.com, cesarortegacyc@gmail.com, gabe@mercadorestaurant.com, infohw@mercadorestaurant.com, info@cocinasycalaveras.com, krystle@mercadorestaurant.com, infomb@mercadorestaurant.com, infops@mercadorestaurant.com",$$$,90068,Los Angeles,4.3,"3413 Cahuenga Blvd W, Los Angeles, CA 90068",892,Unknown,+13235122500,"Mexican, Cocktail Bars",Unknown
Covell,http://www.barcovell.com,"sidebarcovell@gmail.com, info@barcovell.com",$$,90027,Los Angeles,4.3,"4628 Hollywood Blvd, Los Angeles, CA 90027",508,Unknown,+13236604400,"Wine Bars, Beer Bar",Unknown
Finney's Crafthouse - Westlake Village,http://www.finneyscrafthouse.com,,$$,91361,Westlake Village,4.3,"982 S Westlake Blvd, Ste 2, Westlake Village, CA 91361",1457,Unknown,+18052309950,"New American, Burgers, Cocktail Bars",Unknown
Finney's Crafthouse - Burbank,http://finneyscrafthouse.com,,$$,91502,Burbank,4.3,"164 East Palm Ave, Ste 102, Burbank, CA 91502",701,Unknown,+18185724610,"New American, Burgers, Cocktail Bars",Unknown
Chi Chi,,,$$,90010,Los Angeles,4.3,"610 S Berendo St, Los Angeles, CA 90010",273,Unknown,+12139150033,"Korean, Bars",Unknown
Hi Tops - Los Feliz,https://hitopsbar.com/los-feliz/,,$$,90027,Los Angeles,4.2,"1714 N Vermont Ave, Los Angeles, CA 90027",46,Unknown,,"Gay Bars, Cocktail Bars, Burgers",Unknown
Ollo,http://www.ollomalibu.com,hello@ollomalibu.com,$$,90265,Malibu,4.2,"23750 Pacific Coast Hwy, Malibu, CA 90265",1040,Unknown,+13103171444,"New American, Breakfast & Brunch, Cocktail Bars",Unknown
Melrose Umbrella,http://www.melroseumbrellacompany.com,"events@umbrellahospitalitygroup.com, info@melroseumbrellaco.com",$$,90046,Los Angeles,4.2,"7465 Melrose Ave, Los Angeles, CA 90046",671,Unknown,+13239510709,"Cocktail Bars, Coffee & Tea, American",Unknown
Yardbird,https://www.runchickenrun.com/los-angeles/,,$$$,90048,Los Angeles,4.2,"8500 Beverly Blvd, Ste 112, Los Angeles, CA 90048",1661,Unknown,+13232508034,"Southern, New American, Cocktail Bars",Unknown
Tower 12,http://tower12hb.com,,$$,90254,Hermosa Beach,4.2,"53 Pier Ave, Hermosa Beach, CA 90254",1211,Unknown,+13103796400,"Bars, American, Pizza",Unknown
Great White,https://greatwhitevenice.com/locations,"info@greatwhitevenice.com, info@greatwhite.cafe",$$,90004,Los Angeles,4.1,"244 N Larchmont Blvd, Los Angeles, CA 90004",741,Unknown,+13237455059,"New American, Breakfast & Brunch, Cocktail Bars",Unknown
Venice Beach Bar & Kitchen,http://www.thevenicebeachbar.com,,$$,90291,Venice,4.1,"323 Ocean Front Walk, Venice, CA 90291",182,Unknown,+13103923997,"Dive Bars, Music Venues, American",Unknown
Socalo,https://www.socalo.com,hola@socalo.com,$$,90404,Santa Monica,4.1,"1920 Santa Monica Blvd, Ste 150, Santa Monica, CA 90404",456,Unknown,+13104511655,"Mexican, Vegetarian, Cocktail Bars",Unknown
OTOTO,http://www.ototo.la,,$$,90026,Los Angeles,4.1,"1360 Allison Ave, Los Angeles, CA 90026",190,Unknown,+12137847930,"Bars, Japanese",Unknown
De La Nonna,http://delanonna.com,"events@delanonna.com, info@delanonna.com, press@delanonna.com",$$,90013,Los Angeles,4.1,"710 E 4th Pl, Los Angeles, CA 90013",599,Unknown,+12132211268,"Pizza, Wine Bars",Unknown
Lunetta All Day,https://www.lunettasm.com,,$$,90405,Santa Monica,4.1,"2420 Pico Blvd, Santa Monica, CA 90405",912,Unknown,+13105814201,"American, Breakfast & Brunch, Cocktail Bars",Unknown
33 Taps DTLA,https://www.eatdrink33.com,,$$,90015,Los Angeles,4.1,"1240 S Figueroa St, Los Angeles, CA 90015",199,Unknown,+14422495443,"Sports Bars, Breakfast & Brunch, Gastropubs",Unknown
The Brews Hall at Del Amo,http://www.thebrewshall.com,,$$,90503,Torrance,4.1,"21770 Del Amo Cir E, Torrance, CA 90503",574,Unknown,+13102949838,"Breweries, Sports Bars, Pizza",Unknown
Home Restaurant - Los Feliz,https://www.homerestaurantla.com,,$$,90027,Los Angeles,4.1,"1760 Hillhurst Ave, Los Angeles, CA 90027",4012,Unknown,+13239908016,"Breakfast & Brunch, Cocktail Bars, New American",Unknown
Employees Only,http://www.employeesonlyla.com,info@employeesonlyla.com,$$$,90046,West Hollywood,4.1,"7953 Santa Monica Blvd, West Hollywood, CA 90046",508,Unknown,+13235369045,"Cocktail Bars, New American, Lounges",Unknown
Power House,http://www.powerhousehollywood.com,,$$,90028,Los Angeles,4.1,"1714 N Highland Ave, Los Angeles, CA 90028",148,Unknown,+13234639438,"Cocktail Bars, Beer Bar, Dive Bars",Unknown
Idle Hour,http://www.idlehourbar.com,"press@1933group.com, filming@1933group.com, idlehour@1933group.com",$$,91601,Los Angeles,4.0,"4824 N Vineland Ave, Los Angeles, CA 91601",1445,Unknown,+13238310256,"American, Bars, Breakfast & Brunch",Unknown
Alibi Room,http://www.alibiroomla.com,info@alibiroomla.com,$$,90066,Los Angeles,4.0,"12236 W Washington Blvd, Los Angeles, CA 90066",1591,Unknown,+13103909300,"Lounges, Korean, Chicken Wings",Unknown
Huddy's,http://hudsonhousebar.com,hello@hudsonhousebar.com,$$,90277,Redondo Beach,4.0,"514 N Pacific Coast Hwy, Redondo Beach, CA 90277",1191,Unknown,+13233104005,"Gastropubs, New American, Cocktail Bars",Unknown
Resident,http://residentdtla.com,,$$,90013,Los Angeles,4.0,"428 S Hewitt St, Los Angeles, CA 90013",475,Unknown,+12136287503,"Cocktail Bars, Music Venues, Beer Gardens",Unknown
The Library Alehouse,http://www.libraryalehouse.com,info@libraryalehouse.com,$$,90405,Santa Monica,4.0,"2911 Main St, Santa Monica, CA 90405",1443,Unknown,+13103144855,"New American, Gastropubs, Pubs",Unknown
Tempo Cantina - Downey,https://tempo-cantina-downey.pops-cafe.com,,$$,90242,Downey,3.9,"12056 Paramount Blvd, Downey, CA 90242",3315,Unknown,+15623219600,"Mexican, Bars, Desserts",Unknown
Prince O' Whales,http://www.princeowhales.com,prince.o.whales.management@gmail.com,$,90293,Playa Del Rey,3.9,"335 Culver Blvd, Playa Del Rey, CA 90293",260,Unknown,+13108239826,"Dive Bars, Sports Bars",Unknown
R Bar,,,$$,90005,Los Angeles,3.9,"3331 W 8th St, Los Angeles, CA 90005",694,Unknown,+12133877227,"Lounges, New American, Cocktail Bars",Unknown
Melody Bar and Grill,https://www.melodylax.com,melodylax@gmail.com,$$,90045,Los Angeles,3.9,"9132 S Sepulveda Blvd, Los Angeles, CA 90045",999,Unknown,+13106701994,"Bars, New American, Dance Clubs",Unknown
Coco Beach Bar & Grill,http://cocobeachmdr.com,,$$,90292,Marina del Rey,3.9,"404 Washington Blvd, Marina del Rey, CA 90292",141,Unknown,+13109169888,"Sports Bars, American, Breakfast & Brunch",Unknown
Wallflower,http://www.wallflowervenice.com,wallflowervenice@gmail.com,$$$,90291,Venice,3.9,"609 Rose Ave, Venice, CA 90291",466,Unknown,+14247448136,"Indonesian, Cocktail Bars",Unknown
Tavern On Main,http://www.thetavernonmain.com,,$$,90245,El Segundo,3.9,"123 Main St, El Segundo, CA 90245",386,Unknown,+13103223645,"American, Sports Bars, Pubs",Unknown
All Season Brewing,https://www.allseasonbrewing.com,,$$,90036,Los Angeles,3.9,"800 S La Brea Ave, Los Angeles, CA 90036",318,Unknown,+12138175321,"Breweries, Cocktail Bars, Beer Bar",Unknown
Escala,http://www.escalaktown.com/,info@escalaktown.com,$$,90020,Los Angeles,3.9,"3451 W 6th St, Los Angeles, CA 90020",1606,Unknown,+12133871113,"Colombian, Gastropubs, Cocktail Bars",Unknown
Firestone Walker Brewing Company - The Propagator,https://www.firestonewalker.com/venice/,,$$,90292,Marina Del Rey,3.9,"3205 Washington Blvd, Marina Del Rey, CA 90292",1020,Unknown,+13104398264,"Brewpubs, New American, Wine Bars",Unknown
Gulp,https://www.gulpbrewco.com,,$$,90094,Los Angeles,3.8,"13020 Pacific Promenade, Ste 1, Los Angeles, CA 90094",311,Unknown,+13104963966,"New American, Burgers, Sports Bars",Unknown
Mo's Place,http://www.mosplacepdr.com,,$$,90293,Playa Del Rey,3.8,"203 Culver Blvd, Playa Del Rey, CA 90293",318,Unknown,+13108226422,"Sports Bars, Music Venues, Cocktail Bars",Unknown
Calamigos Beach Club,https://www.calamigosbeachclubrestaurant.com,,$$,90265,Malibu,3.8,"26025 Pacific Coast Hwy, Malibu, CA 90265",17,Unknown,+18185402440,Lounges,Unknown
The Airliner,https://www.barairliner.com,info.barairliner@gmail.com,$$,90031,Los Angeles,4.6,"2419 N Broadway, Los Angeles, CA 90031",65,Unknown,+13233322620,"Wine Bars, Cocktail Bars, Pan Asian",Unknown
Divani Indian Bistro,http://divaniindianbistro.com,info@divaniindianbistro.com,$$,90292,Marina del Rey,4.6,"20 Washington Blvd, Marina del Rey, CA 90292",161,Unknown,+13108819192,"Indian, Halal, Cocktail Bars",Unknown
Laces,http://lacesbar.com,,$$,90004,Los Angeles,4.5,"125 N Western Ave, Ste 108, Los Angeles, CA 90004",136,Unknown,+13234985098,"Sports Bars, New American, Cocktail Bars",Unknown
Georgia’s Lounge,http://www.Georgiaslounge.com,"georgiasredondo@gmail.com, info@georgiaslounge.com",$$,90278,Redondo Beach,4.5,"1500 Aviation Blvd, Redondo Beach, CA 90278",273,Unknown,+14243980436,"Lounges, Whiskey Bars, Cocktail Bars",Unknown
Bacari GDL,http://eatwithbacari.com,,$$,91210,Glendale,4.5,"757 Americana Way, Glendale, CA 91210",2211,Unknown,+13239866763,"Wine Bars, Italian, Pizza",Unknown
Vintage Wine + Eats,http://www.vintagestudiocity.com,"info@vintagestudiocity.com, info@vintagestudiocity.com.",$$,91604,Los Angeles,4.4,"12023 Ventura Blvd, Los Angeles, CA 91604",132,Unknown,+18187472479,"Wine Bars, Cafes, Breakfast & Brunch",Unknown
Afuri,https://www.afuriramen.com,taichi@afuri.us,$$,90021,Los Angeles,4.4,"688 Mateo St, Los Angeles, CA 90021",832,Unknown,+12132217206,"Ramen, Soup, Cocktail Bars",Unknown
Native Son - Los Angeles,https://nativesonbar.com/nativesonla,"infosa@nativesonale.com, info@natvesonale.com, inforc@nativesonale.com, infola@nativesonale.com, jobs@nativesonale.com, jobs@natvesonale.com",$$,90014,Los Angeles,4.4,"832 S Olive St, Los Angeles, CA 90014",45,Unknown,+12132701599,"Breweries, Beer Gardens",Unknown
